[[0.013381863, 1.4232801, 0.67677325, 0.26177594, -0.015331493, -0.1517193, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.020073127, 1.428573, 0.6767967, 0.2351404, -0.022912405, -0.15163244, 0.0, 0.0], [0, 0, 0], -0.37959758292649326]
[[0.02676468, 1.4332665, 0.67681897, 0.20846565, -0.03049232, -0.15161254, 0.0, 0.0], [0, 0, 0], -0.7893664229635533]
[[0.033456516, 1.4373609, 0.67684114, 0.18179287, -0.03807103, -0.15158829, 0.0, 0.0], [0, 0, 0], -1.2339905733689136]
[[0.040148545, 1.4408557, 0.6768634, 0.15512045, -0.045648515, -0.1515638, 0.0, 0.0], [0, 0, 0], -1.7163134600555168]
[[0.046840858, 1.4437516, 0.6768855, 0.12844786, -0.053224802, -0.15153965, 0.0, 0.0], [0, 0, 0], -2.238983380270952]
[[0.053533364, 1.4460481, 0.6769076, 0.10177506, -0.06079987, -0.1515154, 0.0, 0.0], [0, 0, 0], -2.804323764332395]
[[0.060226154, 1.4477454, 0.6769296, 0.07510205, -0.068373725, -0.15149122, 0.0, 0.0], [0, 0, 0], -3.41429918174083]
[[0.06691923, 1.4488434, 0.67695135, 0.04842881, -0.075946376, -0.15146717, 0.0, 0.0], [0, 0, 0], -4.070451596954143]
[[0.07361259, 1.449342, 0.6769731, 0.021755349, -0.08351784, -0.15144318, 0.0, 0.0], [0, 0, 0], -4.7739392166546395]
[[0.08030625, 1.4492413, 0.6769947, -0.004918318, -0.09108811, -0.15141933, 0.0, 0.0], [0, 0, 0], -5.5254023049595276]
[[0.08700018, 1.4485412, 0.67701614, -0.031592168, -0.098657176, -0.15139556, 0.0, 0.0], [0, 0, 0], -6.325025088430408]
[[0.093694404, 1.4472419, 0.67703736, -0.058266185, -0.10622508, -0.15137187, 0.0, 0.0], [0, 0, 0], -7.172539589864414]
[[0.10038891, 1.4453433, 0.6770585, -0.08494037, -0.11379182, -0.15134826, 0.0, 0.0], [0, 0, 0], -8.067183504372167]
[[0.1070837, 1.4428453, 0.67707944, -0.111614734, -0.121357374, -0.15132473, 0.0, 0.0], [0, 0, 0], -9.007720432968199]
[[0.113778785, 1.439748, 0.6771003, -0.13828921, -0.12892175, -0.1513013, 0.0, 0.0], [0, 0, 0], -9.99252168764528]
[[0.120474055, 1.4360514, 0.677121, -0.16496386, -0.13648494, -0.15127791, 0.0, 0.0], [0, 0, 0], -11.019570989978888]
[[0.1271697, 1.4317554, 0.67714155, -0.1916387, -0.14404698, -0.1512546, 0.0, 0.0], [0, 0, 0], -12.086493298717812]
[[0.13386574, 1.4268601, 0.67716193, -0.21831372, -0.15160787, -0.15123136, 0.0, 0.0], [0, 0, 0], -13.1906275096851]
[[0.14056197, 1.4213655, 0.67718214, -0.24498895, -0.15916762, -0.15120833, 0.0, 0.0], [0, 0, 0], -14.329078052063949]
[[0.14725856, 1.4152716, 0.6772022, -0.27166435, -0.16672622, -0.15118532, 0.0, 0.0], [0, 0, 0], -15.498757103364994]
[[0.15395546, 1.4085783, 0.6772221, -0.29833996, -0.17428367, -0.15116242, 0.0, 0.0], [0, 0, 0], -16.69639279001825]
[[0.16065264, 1.4012855, 0.67724174, -0.32501572, -0.18183997, -0.15113963, 0.0, 0.0], [0, 0, 0], -17.918682297109626]
[[0.1673501, 1.3933935, 0.67726123, -0.3516917, -0.18939514, -0.1511169, 0.0, 0.0], [0, 0, 0], -19.162267991277986]
[[0.17404003, 1.3848938, 0.6769094, -0.37880498, -0.19735181, -0.15913777, 0.0, 0.0], [0, 0, 0], -20.452025418806357]
[[0.1807352, 1.3757823, 0.67701197, -0.40597448, -0.20490618, -0.15108724, 0.0, 0.0], [0, 0, 0], -21.760305737278316]
[[0.18743047, 1.3660715, 0.6770106, -0.4326459, -0.2124605, -0.15108654, 0.0, 0.0], [0, 0, 0], -23.046512604660677]
[[0.19412585, 1.3557615, 0.6770091, -0.45931727, -0.22001481, -0.15108609, 0.0, 0.0], [0, 0, 0], -24.3408551014889]
[[0.20082131, 1.3448524, 0.67700756, -0.48598865, -0.22756907, -0.15108548, 0.0, 0.0], [0, 0, 0], -25.640272532953077]
[[0.20751686, 1.333344, 0.67700595, -0.51265997, -0.23512332, -0.15108506, 0.0, 0.0], [0, 0, 0], -26.941785611405805]
[[0.2142125, 1.3212361, 0.6770043, -0.5393313, -0.24267751, -0.1510841, 0.0, 0.0], [0, 0, 0], -28.242588546236902]
[[0.22090836, 1.308529, 0.6770026, -0.56600267, -0.2502317, -0.15108334, 0.0, 0.0], [0, 0, 0], -29.540060537216505]
[[0.2276043, 1.2952228, 0.6770009, -0.5926739, -0.25778586, -0.15108265, 0.0, 0.0], [0, 0, 0], -30.831688212640586]
[[0.23430033, 1.281317, 0.6769991, -0.6193451, -0.2653399, -0.15108187, 0.0, 0.0], [0, 0, 0], -32.11513938232741]
[[0.24099645, 1.2668122, 0.67699724, -0.6460165, -0.27289397, -0.15108123, 0.0, 0.0], [0, 0, 0], -33.38830120269813]
[[0.24769278, 1.251708, 0.67699534, -0.67268777, -0.28044802, -0.15108061, 0.0, 0.0], [0, 0, 0], -34.649156798221355]
[[0.2543893, 1.2360046, 0.67699337, -0.699359, -0.288002, -0.15108003, 0.0, 0.0], [0, 0, 0], -35.89590536909907]
[[0.261086, 1.2197019, 0.67699134, -0.7260303, -0.295556, -0.15107933, 0.0, 0.0], [0, 0, 0], -37.12692682728482]
[[0.2677827, 1.2027998, 0.6769893, -0.7527015, -0.30310994, -0.15107873, 0.0, 0.0], [0, 0, 0], -38.34072649834587]
[[0.27447957, 1.1852987, 0.67698723, -0.7793728, -0.31066382, -0.15107818, 0.0, 0.0], [0, 0, 0], -39.53605805689642]
[[0.28117666, 1.1671981, 0.676985, -0.806044, -0.31821772, -0.15107758, 0.0, 0.0], [0, 0, 0], -40.71177687622338]
[[0.28787392, 1.1484983, 0.67698276, -0.83271515, -0.32577157, -0.151077, 0.0, 0.0], [0, 0, 0], -41.8669533899822]
[[0.2945713, 1.1291993, 0.67698056, -0.8593863, -0.33332542, -0.1510764, 0.0, 0.0], [0, 0, 0], -43.0008387435945]
[[0.30126888, 1.1093009, 0.67697823, -0.8860576, -0.34087917, -0.15107581, 0.0, 0.0], [0, 0, 0], -44.11283676653392]
[[0.30796662, 1.0888032, 0.67697585, -0.9127287, -0.34843293, -0.15107521, 0.0, 0.0], [0, 0, 0], -45.20255802010041]
[[0.31466454, 1.0677063, 0.67697334, -0.93939996, -0.35598665, -0.15107459, 0.0, 0.0], [0, 0, 0], -46.269807181788906]
[[0.32136267, 1.04601, 0.67697084, -0.96607107, -0.36354035, -0.15107395, 0.0, 0.0], [0, 0, 0], -47.31455141774802]
[[0.32806093, 1.0237147, 0.6769683, -0.99274224, -0.37109405, -0.15107337, 0.0, 0.0], [0, 0, 0], -48.337037698219206]
[[0.33475932, 1.0008197, 0.6769657, -1.0194134, -0.37864769, -0.15107274, 0.0, 0.0], [0, 0, 0], -49.33763017413213]
[[0.34145802, 0.97732574, 0.67696303, -1.0460844, -0.38620132, -0.15107216, 0.0, 0.0], [0, 0, 0], -50.31703826425269]
[[0.34815684, 0.95323235, 0.67696035, -1.0727556, -0.39375487, -0.1510716, 0.0, 0.0], [0, 0, 0], -51.27614093191244]
[[0.35485584, 0.9285396, 0.6769576, -1.0994266, -0.4013085, -0.151072, 0.0, 0.0], [0, 0, 0], -52.21612986836129]
[[0.361555, 0.9032477, 0.6769548, -1.1260978, -0.40886208, -0.15107137, 0.0, 0.0], [0, 0, 0], -53.13851381044634]
[[0.36825448, 0.8773563, 0.676952, -1.1527689, -0.41641563, -0.1510708, 0.0, 0.0], [0, 0, 0], -54.045085037591036]
[[0.37495413, 0.8508658, 0.67694914, -1.1794399, -0.42396912, -0.1510702, 0.0, 0.0], [0, 0, 0], -54.93806915717829]
[[0.38165396, 0.82377595, 0.6769462, -1.2061111, -0.4315226, -0.1510698, 0.0, 0.0], [0, 0, 0], -55.82005631611264]
[[0.388354, 0.79608667, 0.6769432, -1.232782, -0.43907607, -0.15106922, 0.0, 0.0], [0, 0, 0], -56.69410864579186]
[[0.39505425, 0.7677981, 0.6769402, -1.2594529, -0.44662952, -0.15106861, 0.0, 0.0], [0, 0, 0], -57.56386466711592]
[[0.40175477, 0.73891026, 0.6769371, -1.2861238, -0.45418292, -0.15106802, 0.0, 0.0], [0, 0, 0], -58.43350074644093]
[[0.40845546, 0.7094231, 0.67693394, -1.3127948, -0.46173632, -0.15106742, 0.0, 0.0], [0, 0, 0], -59.30794392732611]
[[0.41515636, 0.6793366, 0.6769308, -1.3394657, -0.46928963, -0.15106687, 0.0, 0.0], [0, 0, 0], -60.19282761752481]
[[0.42185754, 0.6486508, 0.6769276, -1.3661366, -0.47684294, -0.15106627, 0.0, 0.0], [0, 0, 0], -61.094712415138645]
[[0.42855892, 0.6173657, 0.67692435, -1.3928075, -0.48439622, -0.1510657, 0.0, 0.0], [0, 0, 0], -62.02115263275914]
[[0.4352606, 0.58548117, 0.676921, -1.4194783, -0.49194947, -0.1510651, 0.0, 0.0], [0, 0, 0], -62.980828135075456]
[[0.44196242, 0.55299735, 0.6769176, -1.4461492, -0.49950272, -0.15106453, 0.0, 0.0], [0, 0, 0], -63.98373678801943]
[[0.44866458, 0.5199142, 0.67691416, -1.4728202, -0.50705594, -0.15106386, 0.0, 0.0], [0, 0, 0], -65.04131926707674]
[[0.4553669, 0.4862317, 0.67691076, -1.499491, -0.5146091, -0.15106323, 0.0, 0.0], [0, 0, 0], -66.16657075785332]
