[[0.010044957, 1.3876127, 0.5080097, -0.5307754, -0.011506933, -0.11389121, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.015067672, 1.3750705, 0.5080276, -0.5574833, -0.017197395, -0.11381958, 0.0, 0.0], [0, 0, 0], -1.272709618291202]
[[0.02009058, 1.3619287, 0.50804436, -0.5841587, -0.022887096, -0.11380466, 0.0, 0.0], [0, 0, 0], -2.5276924301630572]
[[0.025113678, 1.3481872, 0.50806105, -0.61083037, -0.02857591, -0.11378677, 0.0, 0.0], [0, 0, 0], -3.763866318197387]
[[0.030136967, 1.3338462, 0.50807786, -0.6375007, -0.034263816, -0.11376848, 0.0, 0.0], [0, 0, 0], -4.978558613015963]
[[0.035160445, 1.3189056, 0.5080946, -0.66417134, -0.03995083, -0.11375052, 0.0, 0.0], [0, 0, 0], -6.16924045931367]
[[0.040184118, 1.3033653, 0.5081112, -0.6908421, -0.04563696, -0.11373304, 0.0, 0.0], [0, 0, 0], -7.33350785089678]
[[0.045207977, 1.2872256, 0.5081278, -0.717513, -0.051322218, -0.11371543, 0.0, 0.0], [0, 0, 0], -8.469188573454147]
[[0.05023203, 1.270486, 0.50814426, -0.7441841, -0.05700657, -0.11369747, 0.0, 0.0], [0, 0, 0], -9.574261634605307]
[[0.05525627, 1.2531469, 0.5081607, -0.77085525, -0.06269005, -0.11367998, 0.0, 0.0], [0, 0, 0], -10.646978069190538]
[[0.060280703, 1.2352083, 0.508177, -0.79752654, -0.06837264, -0.11366226, 0.0, 0.0], [0, 0, 0], -11.6856971082357]
[[0.06530533, 1.21667, 0.5081932, -0.82419807, -0.074054345, -0.11364464, 0.0, 0.0], [0, 0, 0], -12.68896485604634]
[[0.07033014, 1.197532, 0.50820935, -0.8508696, -0.0797352, -0.113627434, 0.0, 0.0], [0, 0, 0], -13.655455317294468]
[[0.07535515, 1.1777946, 0.50822544, -0.87754136, -0.08541518, -0.11360983, 0.0, 0.0], [0, 0, 0], -14.584026719618151]
[[0.08038034, 1.1574575, 0.5082414, -0.9042131, -0.09109427, -0.113592245, 0.0, 0.0], [0, 0, 0], -15.47361132895233]
[[0.08540573, 1.1365206, 0.5082573, -0.930885, -0.0967725, -0.113574825, 0.0, 0.0], [0, 0, 0], -16.323320717238744]
[[0.09043131, 1.1149842, 0.5082732, -0.95755696, -0.10244987, -0.11355754, 0.0, 0.0], [0, 0, 0], -17.13235328419239]
[[0.09545708, 1.092848, 0.508289, -0.9842292, -0.10812637, -0.11354037, 0.0, 0.0], [0, 0, 0], -17.900054369568892]
[[0.100483134, 1.0701122, 0.50830454, -1.0109016, -0.113802105, -0.11352481, 0.0, 0.0], [0, 0, 0], -18.62586805196625]
[[0.10550928, 1.0467769, 0.50832003, -1.037574, -0.11947704, -0.11350906, 0.0, 0.0], [0, 0, 0], -19.309346280724668]
[[0.11053572, 1.022842, 0.5083355, -1.0642465, -0.12515122, -0.1134934, 0.0, 0.0], [0, 0, 0], -19.950166527928985]
[[0.115562245, 0.99830717, 0.50835073, -1.0909194, -0.13082464, -0.113478675, 0.0, 0.0], [0, 0, 0], -20.54808774997403]
[[0.12058906, 0.97317296, 0.5083659, -1.1175921, -0.13649721, -0.11346196, 0.0, 0.0], [0, 0, 0], -21.103035489562586]
[[0.12561607, 0.9474389, 0.508381, -1.1442653, -0.14216907, -0.11344738, 0.0, 0.0], [0, 0, 0], -21.615059527240078]
[[0.13064118, 0.92108417, 0.5081907, -1.171882, -0.14784078, -0.1134339, 0.0, 0.0], [0, 0, 0], -22.160646490382902]
[[0.13566637, 0.89412963, 0.5081901, -1.1985514, -0.15351245, -0.113433585, 0.0, 0.0], [0, 0, 0], -22.58496399649954]
[[0.14069147, 0.86657554, 0.50818956, -1.2252208, -0.15918411, -0.11343292, 0.0, 0.0], [0, 0, 0], -22.967406327030375]
[[0.14571667, 0.83842194, 0.5081889, -1.2518901, -0.16485575, -0.11343267, 0.0, 0.0], [0, 0, 0], -23.308673613742826]
