[[-0.0017050743, 1.388358, -0.08624341, -0.51419467, 0.0019610275, 0.019331899, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.0025577545, 1.3761878, -0.086246416, -0.5408989, 0.0029270898, 0.019322926, 0.0, 0.0], [0, 0, 0], -1.5151798638751757]
[[-0.0034104348, 1.3634176, -0.08624928, -0.56757224, 0.0038930352, 0.019320782, 0.0, 0.0], [0, 0, 0], -2.970582376629551]
[[-0.00426321, 1.3500472, -0.08625214, -0.5942417, 0.004858827, 0.019317737, 0.0, 0.0], [0, 0, 0], -4.368418277586272]
[[-0.0051158904, 1.3360769, -0.086255, -0.62090975, 0.0058244704, 0.019314708, 0.0, 0.0], [0, 0, 0], -5.708616207024818]
[[-0.0059687616, 1.3215064, -0.08625786, -0.6475781, 0.006789989, 0.01931251, 0.0, 0.0], [0, 0, 0], -6.991027381163633]
[[-0.006821537, 1.3063359, -0.086260684, -0.67424655, 0.0077553326, 0.019308697, 0.0, 0.0], [0, 0, 0], -8.215393879102038]
[[-0.007674408, 1.2905655, -0.08626354, -0.7009149, 0.0087205535, 0.019306418, 0.0, 0.0], [0, 0, 0], -9.381498806765023]
[[-0.008527279, 1.2741951, -0.086266354, -0.7275833, 0.009685651, 0.019303808, 0.0, 0.0], [0, 0, 0], -10.489160234284043]
[[-0.009380246, 1.2572244, -0.08626916, -0.75425184, 0.010650595, 0.019300755, 0.0, 0.0], [0, 0, 0], -11.53822833778321]
[[-0.010233116, 1.239654, -0.08627197, -0.78092027, 0.0116153965, 0.019297706, 0.0, 0.0], [0, 0, 0], -12.528561209579095]
[[-0.011086178, 1.2214832, -0.08627477, -0.8075889, 0.012580101, 0.019295903, 0.0, 0.0], [0, 0, 0], -13.460066951607189]
[[-0.011939144, 1.2027127, -0.08627754, -0.8342575, 0.013544621, 0.019292023, 0.0, 0.0], [0, 0, 0], -14.33263306323613]
[[-0.012792205, 1.1833421, -0.086280346, -0.8609261, 0.014509044, 0.01928996, 0.0, 0.0], [0, 0, 0], -15.146184131123533]
[[-0.013645172, 1.1633713, -0.086283095, -0.8875948, 0.015473304, 0.019287165, 0.0, 0.0], [0, 0, 0], -15.900616316031716]
[[-0.014498329, 1.1428007, -0.08628585, -0.9142636, 0.01643745, 0.019284494, 0.0, 0.0], [0, 0, 0], -16.595920816601478]
[[-0.015351486, 1.12163, -0.0862886, -0.9409323, 0.017401434, 0.01928166, 0.0, 0.0], [0, 0, 0], -17.2319834455964]
[[-0.016204547, 1.0998592, -0.08629134, -0.9676011, 0.018365324, 0.019279512, 0.0, 0.0], [0, 0, 0], -17.808795224469804]
[[-0.0170578, 1.0774884, -0.08629405, -0.99426997, 0.019329073, 0.019276785, 0.0, 0.0], [0, 0, 0], -18.326300624375193]
[[-0.017910957, 1.0545175, -0.08629677, -1.0209389, 0.0202927, 0.019274332, 0.0, 0.0], [0, 0, 0], -18.78447227359294]
[[-0.018764209, 1.0309467, -0.08629947, -1.0476077, 0.021256197, 0.01927156, 0.0, 0.0], [0, 0, 0], -19.183270943679673]
[[-0.019617463, 1.0067759, -0.08630217, -1.0742767, 0.022219535, 0.019268729, 0.0, 0.0], [0, 0, 0], -19.52269499086566]
[[-0.02047081, 0.9820048, -0.08630486, -1.1009456, 0.023182727, 0.019265752, 0.0, 0.0], [0, 0, 0], -19.80267892572445]
[[-0.021324063, 0.956634, -0.08630754, -1.1276146, 0.02414583, 0.019263627, 0.0, 0.0], [0, 0, 0], -20.0232961838079]
[[-0.022177124, 0.9306414, -0.08627544, -1.155237, 0.025108865, 0.019260738, 0.0, 0.0], [0, 0, 0], -20.277134732634465]
[[-0.023030186, 0.9040491, -0.086275436, -1.1819037, 0.026071902, 0.019260492, 0.0, 0.0], [0, 0, 0], -20.376550205642218]
[[-0.023883153, 0.8768566, -0.08627543, -1.2085704, 0.02703492, 0.01926029, 0.0, 0.0], [0, 0, 0], -20.416540298980863]
[[-0.024736214, 0.84906405, -0.08627542, -1.235237, 0.027997935, 0.019260112, 0.0, 0.0], [0, 0, 0], -20.39713325285817]
[[-0.025589276, 0.82067174, -0.08627542, -1.2619036, 0.028960953, 0.01926018, 0.0, 0.0], [0, 0, 0], -20.31837868912595]
[[-0.026442338, 0.79167926, -0.08627542, -1.2885703, 0.029923968, 0.019260278, 0.0, 0.0], [0, 0, 0], -20.180277216659675]
[[-0.027295303, 0.7620868, -0.08627542, -1.3152369, 0.030887008, 0.019260619, 0.0, 0.0], [0, 0, 0], -19.98288534360171]
[[-0.028148364, 0.7318946, -0.08627542, -1.3419036, 0.031850044, 0.01926051, 0.0, 0.0], [0, 0, 0], -19.72626757395119]
[[-0.029001426, 0.70110226, -0.08627542, -1.3685702, 0.032813083, 0.019260649, 0.0, 0.0], [0, 0, 0], -19.41046328601385]
[[-0.029854488, 0.66970986, -0.08627542, -1.3952368, 0.033776112, 0.019260675, 0.0, 0.0], [0, 0, 0], -19.035557506147654]
[[-0.030707454, 0.6377176, -0.08627542, -1.4219035, 0.034739155, 0.019260695, 0.0, 0.0], [0, 0, 0], -18.60169159140483]
[[-0.031560518, 0.6051253, -0.08627542, -1.4485704, 0.0357022, 0.01926076, 0.0, 0.0], [0, 0, 0], -18.109010719351147]
[[-0.03241358, 0.57193303, -0.08627542, -1.475237, 0.03666524, 0.019260764, 0.0, 0.0], [0, 0, 0], -17.557646335616596]
[[-0.03326664, 0.5381408, -0.08627542, -1.5019037, 0.03762828, 0.019260682, 0.0, 0.0], [0, 0, 0], -16.94787011686867]
[[-0.034119703, 0.5037485, -0.08627541, -1.5285703, 0.038591314, 0.019260656, 0.0, 0.0], [0, 0, 0], -16.27998794049114]
[[-0.034972668, 0.46875623, -0.08627541, -1.5552369, 0.039554343, 0.01926062, 0.0, 0.0], [0, 0, 0], -15.554428698456064]
[[-0.03582573, 0.43316397, -0.086275406, -1.5819036, 0.04051737, 0.019260604, 0.0, 0.0], [0, 0, 0], -14.771763485603174]
[[-0.03667879, 0.39697173, -0.086275406, -1.6085702, 0.041480415, 0.019260634, 0.0, 0.0], [0, 0, 0], -13.932807449784377]
[[-0.037531853, 0.36017954, -0.0862754, -1.635237, 0.04244345, 0.019260623, 0.0, 0.0], [0, 0, 0], -13.038733995204097]
[[-0.038384818, 0.32278734, -0.0862754, -1.6619039, 0.043406483, 0.019260637, 0.0, 0.0], [0, 0, 0], -12.091270902358929]
[[-0.03923788, 0.28479517, -0.08627539, -1.6885705, 0.044369526, 0.019260678, 0.0, 0.0], [0, 0, 0], -11.093095134843935]
[[-0.04009094, 0.24620298, -0.08627539, -1.7152371, 0.045332566, 0.019260675, 0.0, 0.0], [0, 0, 0], -10.048671587264607]
[[-0.040944003, 0.20701076, -0.086275384, -1.7419038, 0.046295602, 0.019260675, 0.0, 0.0], [0, 0, 0], -8.965847525239894]
[[-0.041797064, 0.16721864, -0.086275384, -1.7685707, 0.04725863, 0.01926065, 0.0, 0.0], [0, 0, 0], -7.859843103723506]
[[-0.042650033, 0.12682644, -0.086275384, -1.7952377, 0.048221663, 0.019260678, 0.0, 0.0], [0, 0, 0], -6.763968123546164]
[[-0.043503094, 0.08583427, -0.08627537, -1.8219043, 0.049184706, 0.019260682, 0.0, 0.0], [0, 0, 0], -5.766246411331963]
[[-0.044356156, 0.044242155, -0.08627537, -1.848571, 0.050147735, 0.0192606, 0.0, 0.0], [0, 0, 0], -5.168212028778385]
[[-0.045209218, 0.0020500754, -0.08627536, -1.8752378, 0.051110778, 0.019260583, 0.0, 1.0], [0, 0, 0], 3.8109366810320466]
[[-0.04601679, -0.03988873, -0.05715555, -1.8630373, 0.03410879, -0.33203965, 1.0, 1.0], [0, 0, 0], 15.277580849937266]
---
[[0.0043298723, 1.3979851, 0.21896927, -0.30027354, -0.0049561528, -0.04909094, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.006494713, 1.3906288, 0.21897683, -0.32695845, -0.007408935, -0.049060363, 0.0, 0.0], [0, 0, 0], -1.6984335529280656]
[[0.008659649, 1.3826724, 0.2189841, -0.35363117, -0.009861389, -0.049053926, 0.0, 0.0], [0, 0, 0], -3.3922702225114847]
[[0.010824775, 1.3741162, 0.21899135, -0.38030055, -0.012313473, -0.0490463, 0.0, 0.0], [0, 0, 0], -5.073632212406977]
[[0.012989998, 1.3649597, 0.21899863, -0.40696913, -0.014765175, -0.04903859, 0.0, 0.0], [0, 0, 0], -6.735666679278182]
[[0.0151551245, 1.3552035, 0.21900585, -0.4336379, -0.017216498, -0.04903128, 0.0, 0.0], [0, 0, 0], -8.372673464468392]
[[0.017320443, 1.3448473, 0.21901307, -0.46030664, -0.019667443, -0.049023617, 0.0, 0.0], [0, 0, 0], -9.979824703147699]
[[0.019485855, 1.3338912, 0.21902025, -0.48697555, -0.022118041, -0.049016662, 0.0, 0.0], [0, 0, 0], -11.553134793086457]
[[0.021651268, 1.322335, 0.21902743, -0.51364446, -0.024568303, -0.04900959, 0.0, 0.0], [0, 0, 0], -13.089259498158327]
[[0.023816776, 1.3101789, 0.21903458, -0.5403135, -0.027018212, -0.049003042, 0.0, 0.0], [0, 0, 0], -14.585381513905105]
[[0.02598238, 1.2974229, 0.21904168, -0.5669824, -0.029467767, -0.04899574, 0.0, 0.0], [0, 0, 0], -16.039150812375368]
[[0.02814808, 1.2840669, 0.21904877, -0.5936515, -0.031917002, -0.0489893, 0.0, 0.0], [0, 0, 0], -17.44856942377598]
[[0.030313874, 1.2701108, 0.2190558, -0.6203205, -0.034365874, -0.04898201, 0.0, 0.0], [0, 0, 0], -18.811898263444533]
[[0.032479666, 1.2555549, 0.21906285, -0.64698976, -0.036814418, -0.048975565, 0.0, 0.0], [0, 0, 0], -20.127729459246922]
[[0.034645557, 1.2403991, 0.21906984, -0.67365897, -0.039262597, -0.048968397, 0.0, 0.0], [0, 0, 0], -21.39476508313507]
[[0.03681154, 1.2246431, 0.21907683, -0.7003283, -0.04171044, -0.04896141, 0.0, 0.0], [0, 0, 0], -22.61194159450838]
