[[0.0009255409, 1.3952695, 0.04679638, -0.3606125, -0.001054103, -0.01049277, 0.0, 0.0], [0, 0, 0], 0.0]
[[0.0013881683, 1.3865553, 0.046798088, -0.3873026, -0.0015782943, -0.010484895, 0.0, 0.0], [0, 0, 0], -1.8293827631788133]
[[0.0018508912, 1.3772408, 0.046799645, -0.41397506, -0.0021023997, -0.010483274, 0.0, 0.0], [0, 0, 0], -3.5996277284092173]
[[0.0023135184, 1.3673264, 0.046801202, -0.44064394, -0.0026264293, -0.010481604, 0.0, 0.0], [0, 0, 0], -5.311696382604765]
[[0.0027762414, 1.3568118, 0.04680275, -0.46731216, -0.0031503884, -0.010479964, 0.0, 0.0], [0, 0, 0], -6.96549021909064]
[[0.0032390594, 1.3456973, 0.0468043, -0.49398047, -0.0036742343, -0.010478234, 0.0, 0.0], [0, 0, 0], -8.560814080650857]
[[0.0037017823, 1.3339828, 0.046805844, -0.52064884, -0.004198047, -0.010477174, 0.0, 0.0], [0, 0, 0], -10.09744066884187]
[[0.004164505, 1.3216681, 0.046807375, -0.5473172, -0.0047217854, -0.010475697, 0.0, 0.0], [0, 0, 0], -11.575139974032822]
[[0.0046273232, 1.3087535, 0.046808906, -0.57398564, -0.0052454434, -0.01047407, 0.0, 0.0], [0, 0, 0], -12.99380548939601]
[[0.0050900457, 1.2952387, 0.046810433, -0.60065395, -0.005768988, -0.010472348, 0.0, 0.0], [0, 0, 0], -14.353280008109152]
[[0.0055529596, 1.2811241, 0.04681196, -0.6273225, -0.0062924977, -0.010471064, 0.0, 0.0], [0, 0, 0], -15.653522886107368]
[[0.0060157776, 1.2664094, 0.046813473, -0.6539909, -0.00681593, -0.010469542, 0.0, 0.0], [0, 0, 0], -16.89436925852388]
[[0.0064785955, 1.2510947, 0.046814986, -0.6806595, -0.0073392973, -0.010468271, 0.0, 0.0], [0, 0, 0], -18.07581670254362]
[[0.0069415094, 1.2351799, 0.04681649, -0.70732796, -0.007862586, -0.010466758, 0.0, 0.0], [0, 0, 0], -19.197740776273946]
[[0.0074043274, 1.2186649, 0.046817992, -0.7339966, -0.0083857905, -0.010465242, 0.0, 0.0], [0, 0, 0], -20.260128823844525]
[[0.007867241, 1.2015501, 0.046819486, -0.7606652, -0.008908924, -0.010463709, 0.0, 0.0], [0, 0, 0], -21.26293465470411]
[[0.008330154, 1.183835, 0.046820976, -0.7873339, -0.009432013, -0.0104624815, 0.0, 0.0], [0, 0, 0], -22.206111856861895]
[[0.008793163, 1.1655201, 0.04682246, -0.81400263, -0.009955022, -0.01046108, 0.0, 0.0], [0, 0, 0], -23.089627383676856]
[[0.009256077, 1.1466051, 0.046823937, -0.8406715, -0.010477944, -0.010459563, 0.0, 0.0], [0, 0, 0], -23.91347802256638]
[[0.00971899, 1.12709, 0.046825416, -0.86734015, -0.011000797, -0.010457999, 0.0, 0.0], [0, 0, 0], -24.677574643197346]
[[0.010181999, 1.106975, 0.046826888, -0.894009, -0.011523609, -0.010457038, 0.0, 0.0], [0, 0, 0], -25.38198050816888]
[[0.010644913, 1.0862597, 0.04682834, -0.92067784, -0.012046307, -0.010455237, 0.0, 0.0], [0, 0, 0], -26.02660213833687]
[[0.011107922, 1.0649445, 0.04682981, -0.94734675, -0.012568992, -0.010454743, 0.0, 0.0], [0, 0, 0], -26.611482487005702]
[[0.0115709305, 1.0430294, 0.04683123, -0.9740156, -0.013091575, -0.01045243, 0.0, 0.0], [0, 0, 0], -27.136580901298117]
[[0.012033844, 1.0204927, 0.04681353, -1.0016382, -0.013614137, -0.0104511855, 0.0, 0.0], [0, 0, 0], -27.69491529692587]
[[0.012496662, 0.9973559, 0.046813533, -1.0283048, -0.0141367, -0.010451244, 0.0, 0.0], [0, 0, 0], -28.09805639987937]
[[0.012959575, 0.97361916, 0.046813536, -1.0549715, -0.014659266, -0.010451227, 0.0, 0.0], [0, 0, 0], -28.44140736741096]
[[0.013422394, 0.9492824, 0.046813536, -1.0816381, -0.015181823, -0.010451038, 0.0, 0.0], [0, 0, 0], -28.724962343882368]
[[0.013885307, 0.92434573, 0.046813536, -1.1083049, -0.015704362, -0.010450885, 0.0, 0.0], [0, 0, 0], -28.94873100610036]
[[0.014348125, 0.89880896, 0.046813536, -1.1349715, -0.016226916, -0.010450965, 0.0, 0.0], [0, 0, 0], -29.11267613080429]
[[0.014811039, 0.87267226, 0.046813533, -1.1616381, -0.016749477, -0.010450874, 0.0, 0.0], [0, 0, 0], -29.21682585024135]
[[0.015273857, 0.8459355, 0.04681353, -1.1883048, -0.017272033, -0.010451067, 0.0, 0.0], [0, 0, 0], -29.261182396241423]
[[0.01573677, 0.8185989, 0.04681353, -1.2149714, -0.01779458, -0.010450975, 0.0, 0.0], [0, 0, 0], -29.245752081387394]
[[0.016199589, 0.79066217, 0.046813525, -1.2416381, -0.018317139, -0.01045092, 0.0, 0.0], [0, 0, 0], -29.170531647793155]
[[0.016662503, 0.76212543, 0.04681353, -1.2683047, -0.018839695, -0.010450897, 0.0, 0.0], [0, 0, 0], -29.03554664254378]
[[0.01712532, 0.7329888, 0.04681353, -1.2949713, -0.019362245, -0.010450903, 0.0, 0.0], [0, 0, 0], -28.84081290072703]
[[0.017588234, 0.703252, 0.04681353, -1.321638, -0.019884806, -0.01045092, 0.0, 0.0], [0, 0, 0], -28.586339499488787]
[[0.018051052, 0.67291534, 0.04681353, -1.3483046, -0.02040735, -0.010450903, 0.0, 0.0], [0, 0, 0], -28.272164682664055]
[[0.018513966, 0.6419787, 0.046813525, -1.3749715, -0.020929899, -0.010450886, 0.0, 0.0], [0, 0, 0], -27.898351085491186]
[[0.018976783, 0.61044186, 0.04681353, -1.4016382, -0.021452451, -0.010450922, 0.0, 0.0], [0, 0, 0], -27.464877370343913]
[[0.019439697, 0.57830524, 0.04681353, -1.4283048, -0.021975001, -0.010450903, 0.0, 0.0], [0, 0, 0], -26.971847243542044]
[[0.019902516, 0.5455685, 0.04681353, -1.4549714, -0.022497538, -0.01045092, 0.0, 0.0], [0, 0, 0], -26.419318284789995]
[[0.020365428, 0.5122319, 0.046813525, -1.4816381, -0.023020096, -0.010450881, 0.0, 0.0], [0, 0, 0], -25.807398039855315]
[[0.020828247, 0.47829518, 0.046813525, -1.5083047, -0.023542644, -0.010450842, 0.0, 0.0], [0, 0, 0], -25.136196608413627]
[[0.021291161, 0.44375855, 0.046813525, -1.5349714, -0.024065183, -0.010450839, 0.0, 0.0], [0, 0, 0], -24.405909528955533]
[[0.021753978, 0.4086219, 0.046813525, -1.561638, -0.02458773, -0.010450801, 0.0, 0.0], [0, 0, 0], -23.616763031870562]
[[0.022216892, 0.37288514, 0.046813525, -1.5883049, -0.025110286, -0.010450823, 0.0, 0.0], [0, 0, 0], -22.76911706410843]
[[0.02267971, 0.3365485, 0.046813525, -1.6149715, -0.025632827, -0.0104507785, 0.0, 0.0], [0, 0, 0], -21.86343825499128]
[[0.023142625, 0.29961184, 0.046813525, -1.6416382, -0.026155366, -0.010450792, 0.0, 0.0], [0, 0, 0], -20.90050285906227]
[[0.023605442, 0.26207522, 0.046813525, -1.6683048, -0.026677903, -0.0104507925, 0.0, 0.0], [0, 0, 0], -19.881539922197106]
[[0.024068356, 0.22393857, 0.046813525, -1.6949714, -0.027200459, -0.010450826, 0.0, 0.0], [0, 0, 0], -18.80863708477628]
[[0.024531174, 0.18520196, 0.046813525, -1.7216381, -0.027723003, -0.010450793, 0.0, 0.0], [0, 0, 0], -17.685684442618737]
[[0.024994086, 0.14586534, 0.046813525, -1.7483047, -0.028245542, -0.010450791, 0.0, 0.0], [0, 0, 0], -16.520798015147676]
[[0.025456905, 0.10592867, 0.04681352, -1.7749714, -0.028768085, -0.010450762, 0.0, 0.0], [0, 0, 0], -15.334119082644122]
[[0.02591982, 0.06539212, 0.04681352, -1.801638, -0.029290628, -0.010450723, 0.0, 0.0], [0, 0, 0], -14.191837592978061]
[[0.026382636, 0.024255477, 0.046813518, -1.8283046, -0.02981317, -0.010450735, 0.0, 0.0], [0, 0, 0], -13.459504004274834]
[[0.02684555, -0.017481163, 0.046813514, -1.8549713, -0.030335713, -0.010450688, 1.0, 1.0], [0, 0, 0], 4.202699758662533]
---
[[-0.010626507, 1.4019349, -0.537443, -0.21252689, 0.012186963, 0.12048577, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.015940284, 1.396554, -0.5374618, -0.23920546, 0.018207131, 0.12041466, 0.0, 0.0], [0, 0, 0], -1.1041165774891795]
[[-0.021254253, 1.3905737, -0.5374796, -0.26587984, 0.024226554, 0.12039956, 0.0, 0.0], [0, 0, 0], -2.2509263578611183]
[[-0.026568413, 1.3839939, -0.5374972, -0.2925514, 0.030245032, 0.120380566, 0.0, 0.0], [0, 0, 0], -3.43490352741253]
[[-0.031882763, 1.3768145, -0.537515, -0.31922212, 0.03626255, 0.12036149, 0.0, 0.0], [0, 0, 0], -4.650587978912995]
[[-0.03719721, 1.3690355, -0.5375326, -0.34589306, 0.042279117, 0.12034235, 0.0, 0.0], [0, 0, 0], -5.892476049183301]
[[-0.04251194, 1.360657, -0.5375502, -0.37256417, 0.04829472, 0.1203234, 0.0, 0.0], [0, 0, 0], -7.155225329704791]
[[-0.047826864, 1.3516788, -0.53756773, -0.3992354, 0.054309394, 0.1203045, 0.0, 0.0], [0, 0, 0], -8.433659358837161]
[[-0.053141974, 1.3421013, -0.53758514, -0.42590678, 0.060323123, 0.120285615, 0.0, 0.0], [0, 0, 0], -9.722875861231472]
[[-0.058457278, 1.3319241, -0.5376024, -0.45257834, 0.066335924, 0.12026683, 0.0, 0.0], [0, 0, 0], -11.01818338879383]
[[-0.06377287, 1.3211473, -0.5376197, -0.47924995, 0.07234778, 0.120248176, 0.0, 0.0], [0, 0, 0], -12.315204264520958]
[[-0.06908865, 1.3097708, -0.5376369, -0.5059217, 0.07835871, 0.12022958, 0.0, 0.0], [0, 0, 0], -13.60981866176789]
[[-0.07440452, 1.2977949, -0.5376539, -0.53259367, 0.08436872, 0.1202111, 0.0, 0.0], [0, 0, 0], -14.898217776490924]
