[[-0.010609818, 1.4018784, -0.536598, -0.21378595, 0.0121678095, 0.12029632, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.015915204, 1.3964691, -0.5366169, -0.24046466, 0.018178498, 0.12022541, 0.0, 0.0], [0, 0, 0], -1.1066092774723302]
[[-0.021220779, 1.3904606, -0.5366347, -0.2671397, 0.024188442, 0.12021025, 0.0, 0.0], [0, 0, 0], -2.255731462757552]
[[-0.026526546, 1.3838522, -0.5366522, -0.29381123, 0.030197455, 0.12019124, 0.0, 0.0], [0, 0, 0], -3.441764999903171]
[[-0.031832505, 1.3766444, -0.5366699, -0.32048196, 0.036205515, 0.1201722, 0.0, 0.0], [0, 0, 0], -4.659283872492381]
[[-0.037138652, 1.3688371, -0.5366875, -0.3471529, 0.042212624, 0.120153055, 0.0, 0.0], [0, 0, 0], -5.902783531752334]
[[-0.042445086, 1.3604302, -0.5367051, -0.373824, 0.04821878, 0.12013414, 0.0, 0.0], [0, 0, 0], -7.16690258146221]
[[-0.047751617, 1.351424, -0.53672254, -0.40049517, 0.054223992, 0.1201153, 0.0, 0.0], [0, 0, 0], -8.446473998281306]
[[-0.053058337, 1.3418179, -0.53673995, -0.42716655, 0.06022826, 0.12009637, 0.0, 0.0], [0, 0, 0], -9.736559063159348]
[[-0.05836525, 1.3316123, -0.5367573, -0.45383802, 0.06623159, 0.120077714, 0.0, 0.0], [0, 0, 0], -11.032504945375308]
[[-0.063672446, 1.3208071, -0.5367746, -0.4805097, 0.072234, 0.12005905, 0.0, 0.0], [0, 0, 0], -12.329926446100274]
[[-0.068979934, 1.3094023, -0.5367917, -0.50718147, 0.07823548, 0.12004052, 0.0, 0.0], [0, 0, 0], -13.624718835575663]
[[-0.074287415, 1.297398, -0.5368087, -0.53385335, 0.08423603, 0.120022215, 0.0, 0.0], [0, 0, 0], -14.913062102069205]
[[-0.079595186, 1.2847941, -0.5368257, -0.56052536, 0.09023568, 0.1200039, 0.0, 0.0], [0, 0, 0], -16.191461252248416]
[[-0.08490324, 1.2715907, -0.5368425, -0.58719754, 0.09623441, 0.119985506, 0.0, 0.0], [0, 0, 0], -17.456619581247566]
[[-0.09021149, 1.2577877, -0.5368592, -0.61386985, 0.10223223, 0.11996714, 0.0, 0.0], [0, 0, 0], -18.705556297684268]
[[-0.09551992, 1.243385, -0.53687584, -0.6405423, 0.10822917, 0.119949065, 0.0, 0.0], [0, 0, 0], -19.935526417408425]
[[-0.10082855, 1.2283828, -0.5368925, -0.66721493, 0.114225164, 0.119931124, 0.0, 0.0], [0, 0, 0], -21.14402367991073]
[[-0.10613747, 1.212781, -0.5369089, -0.6938876, 0.120220274, 0.119912945, 0.0, 0.0], [0, 0, 0], -22.328759195963585]
[[-0.111446574, 1.1965797, -0.53692526, -0.72056043, 0.1262145, 0.11989546, 0.0, 0.0], [0, 0, 0], -23.48770375469394]
[[-0.116755866, 1.1797786, -0.53694147, -0.7472335, 0.13220783, 0.11987726, 0.0, 0.0], [0, 0, 0], -24.618944812408074]
[[-0.12206535, 1.162378, -0.53695756, -0.7739066, 0.13820024, 0.119859144, 0.0, 0.0], [0, 0, 0], -25.72082195647988]
[[-0.12737513, 1.1443777, -0.5369736, -0.8005799, 0.14419177, 0.11984112, 0.0, 0.0], [0, 0, 0], -26.791858341531224]
[[-0.13268499, 1.1257776, -0.5369894, -0.8272533, 0.15018241, 0.11982379, 0.0, 0.0], [1, 0, 0], -27.830691636746934]
[[-0.13826609, 1.1077855, -0.5634246, -0.80019474, 0.15548941, 0.10614004, 0.0, 0.0], [1, 0, 0], -26.18181359037907]
[[-0.14387503, 1.0903294, -0.5666193, -0.7764362, 0.16121104, 0.11443263, 0.0, 0.0], [1, 0, 0], -23.649101060301554]
[[-0.14965105, 1.0732081, -0.5830151, -0.7615456, 0.16663231, 0.10842495, 0.0, 0.0], [1, 0, 1], -22.661271807702004]
[[-0.15549088, 1.0560452, -0.58727175, -0.7631683, 0.16992049, 0.06576361, 0.0, 0.0], [1, 0, 1], -22.091913546525475]
[[-0.16135225, 1.0393229, -0.58744216, -0.74336654, 0.1712338, 0.026266653, 0.0, 0.0], [1, 0, 1], -19.436397380857045]
[[-0.16705704, 1.0229043, -0.5700985, -0.7296718, 0.17084667, -0.0077426345, 0.0, 0.0], [1, 0, 1], -16.04759470054138]
[[-0.17280893, 1.0071846, -0.57283163, -0.69837946, 0.1684889, -0.047155496, 0.0, 0.0], [1, 0, 1], -12.414244965183629]
[[-0.17854214, 0.9923049, -0.5691254, -0.66085184, 0.16429217, -0.0839346, 0.0, 0.0], [1, 0, 1], -7.846808818589825]
