[[-0.008119488, 1.4154731, -0.41064388, 0.08832264, 0.009313368, 0.09206126, 0.0, 0.0], [0, 0, 0], 0.0]
[[-0.012179566, 1.4168615, -0.41065845, 0.061672922, 0.013913244, 0.092005976, 0.0, 0.0], [0, 0, 0], -0.12462153479796712]
[[-0.016239833, 1.4176502, -0.41067204, 0.035000186, 0.018512528, 0.0919944, 0.0, 0.0], [0, 0, 0], -0.3571956661468789]
[[-0.020300101, 1.417839, -0.41068554, 0.0083303815, 0.0231111, 0.091979995, 0.0, 0.0], [0, 0, 0], -0.7020856073157518]
[[-0.024360657, 1.417428, -0.41069913, -0.01833942, 0.027708957, 0.09196538, 0.0, 0.0], [0, 0, 0], -1.1610105546405691]
[[-0.028421307, 1.4164175, -0.41071263, -0.04500929, 0.032306075, 0.09195103, 0.0, 0.0], [0, 0, 0], -1.7335622689657555]
[[-0.032482147, 1.4148072, -0.41072607, -0.07167921, 0.036902495, 0.09193657, 0.0, 0.0], [0, 0, 0], -2.4171740094456595]
[[-0.036543082, 1.4125971, -0.4107395, -0.09834923, 0.041498177, 0.09192216, 0.0, 0.0], [0, 0, 0], -3.2073226942607107]
[[-0.04060421, 1.4097872, -0.41075292, -0.12501934, 0.04609317, 0.09190786, 0.0, 0.0], [0, 0, 0], -4.097784807892793]
[[-0.044665527, 1.4063774, -0.41076627, -0.15168954, 0.050687425, 0.09189359, 0.0, 0.0], [0, 0, 0], -5.080911125550358]
[[-0.04872694, 1.4023681, -0.41077954, -0.17835984, 0.055280965, 0.091879375, 0.0, 0.0], [0, 0, 0], -6.148106874158742]
[[-0.052788544, 1.397759, -0.41079274, -0.20503023, 0.059873816, 0.091865204, 0.0, 0.0], [0, 0, 0], -7.290122821703989]
[[-0.056850243, 1.39255, -0.41080585, -0.23170072, 0.06446595, 0.09185112, 0.0, 0.0], [0, 0, 0], -8.497383880356608]
[[-0.060912035, 1.3867414, -0.41081896, -0.25837132, 0.069057375, 0.09183711, 0.0, 0.0], [0, 0, 0], -9.76035428065478]
[[-0.064974114, 1.380333, -0.41083202, -0.285042, 0.07364811, 0.0918231, 0.0, 0.0], [0, 0, 0], -11.069677899610298]
[[-0.0690362, 1.3733248, -0.41084498, -0.31171277, 0.07823816, 0.09180936, 0.0, 0.0], [0, 0, 0], -12.41640705537364]
[[-0.07309856, 1.3657167, -0.41085792, -0.33838367, 0.08282751, 0.091795385, 0.0, 0.0], [0, 0, 0], -13.792113868999081]
[[-0.07716112, 1.3575089, -0.41087073, -0.36505464, 0.08741618, 0.091781646, 0.0, 0.0], [0, 0, 0], -15.18893930904511]
[[-0.08122368, 1.3487014, -0.41088352, -0.39172572, 0.092004165, 0.09176784, 0.0, 0.0], [0, 0, 0], -16.599664110867707]
[[-0.08528652, 1.3392941, -0.4108962, -0.4183969, 0.09659147, 0.09175425, 0.0, 0.0], [0, 0, 0], -18.01764821123163]
[[-0.08934946, 1.3292869, -0.41090888, -0.44506815, 0.10117809, 0.0917405, 0.0, 0.0], [0, 0, 0], -19.436881849751813]
[[-0.09341259, 1.3186799, -0.41092148, -0.47173947, 0.10576403, 0.09172701, 0.0, 0.0], [0, 0, 0], -20.851921914859105]
[[-0.09747591, 1.3074733, -0.41093403, -0.4984109, 0.11034933, 0.091713965, 0.0, 0.0], [0, 0, 0], -22.257889639017776]
[[-0.10153933, 1.2956669, -0.41094643, -0.52508247, 0.114933975, 0.09170107, 0.0, 0.0], [0, 0, 0], -23.6503661804675]
[[-0.10560112, 1.2832394, -0.41079283, -0.55270135, 0.11951846, 0.09168963, 0.0, 0.0], [0, 0, 0], -25.08942346399303]
